001 L16 002
002 L32 003
004 L16 005
005 L36 006
007 L16 008
008 L36 009
010 L07 011
011 L10 012
013 L07 014
014 L10 015
016 L18 017
017 L36 018
019 L20 020
021 L20 022
023 L22 024
172 H 025
025 sT 026
027 L22 028
029 L16 030
030 sM 031
032 L16 033
033 sM 034
173 H 035
035 sM 036
037 sF 038
174 H 039
039 sM 040
041 L22 042
042 H 169
043 L21 044
044 sL 045
044 sS 182
046 L24 047
048 L31 049
050 L26 051
052 L28 053
054 L33 055
056 L28 057
058 sF 059
060 L25 061
061 sW 062
061 tKR 186
063 L16 064
064 t 065
066 L28 067
067 t 068
069 L21 070
070 sL 071
072 L30 073
074 L25 075
075 t 076
077 L40 078
079 L37 080
079 tKR 199
081 L30 082
082 lC 462
084 L31 085
086 L34 087
088 L38 089
090 sW 091
092 L25 093
093 t 094
095 tMC 208
096 L26 097
098 L28 099
100 L30 101
102 sL 103
104 L28 105
236 L20(A>D) 106
236 L20(A<D) 107
236 L20(A=D) 237
108 kRO 463
109 L35 110
111 L42 112
112 tP 464
440 hOS 113
113 H 242
114 kAP 465
116 L32 117
117 tDS 230
118 L33 119
120 sW 121
439 kM 122
123 tMC 212
238 L30 124
239 L30 125
125 tE 466
240 L30 126
126 tM 467
129 L20 130
133 sW 134
133 sT 135
133 sF 136
133 H(D) 196
133 H(N) 197
133 lEF 470
133 l217 471
137 tUG 233
233 tDD 474
138 L40 139
140 L40 141
446 H 143
147 L30 148
148 L55 149
152 L16 153
153 L32 154
155 L14 156
156 L36 157
158 L18 159
159 L30 160
161 L15 162
163 L20 164
165 L18 166
167 L22 168
170 L27 171
175 H 176
176 sSH 468
177 L25 178
179 L15 180
180 L30 181
298 H 183
183 L18 184
438 kM 185
187 L18 188
188 L27 189
190 kDH 424
191 sS 192
193 kAP 469
194 L20 195
198 sDU 430
200 sDU 429
360 L15 202
204 L31 205
207 hRF(N) 472
209 L23 210
215 hRC(N) 461
216 L30 217
218 L38 219
220 L33 221
221 kAP 473
223 L25 224
458 R 226
228 L24 229
231 L25 232
246 L30 247
247 L55 248
252 L16 253
253 L32 254
255 L16 256
256 L36 257
258 L16 259
259 L36 260
261 L18 262
263 L20 264
265 L07 266
266 L10 267
265 L07 268
268 L10 269
270 L14 271
271 sW 272
273 L14 274
274 sL 275
276 L22 277
278 L25 279
280 L20 281
281 L30 282
281 sDA(♂) 475
283 L22 284
285 L18 286
287 L18 288
288 L36 289
290 L20 291
290 L20(E) 292
293 L20 294
294 L40 295
296 L24 297
299 lC 476
300 sM 301
304 L32 305
305 L42 306
307 L37 308
309 L26 310
406 H(D) 315
315 sSH 407
316 L26 317
318 L30 319
320 L40 321
322 L33 323
325 L32 326
328 L35 329
329 L45 330
331 L32 332
333 L35 334
339 L30 340
341 L30 342
343 L36 344
345 L40 346
347 L40 348
349 B 350
353 L37 354
355 L37 356
356 tRC 477
433 H(N) 358
361 L42 362
361 sDA(♀) 478
363 L32 364
364 L44 330
366 tDST 367
366 tDSS 368
371 L30 372
372 L50 373
374 L20 375
375 L45 376
387 L18 388
388 L32 389
390 L14 391
391 L36 392
393 L16 394
394 L36 395
396 L14 397
397 L34 398
399 L15 400
401 L10 402
403 L15 404
404 L30 405
408 L30 409
410 L30 411
412 L20(♀) 413
412 L20(♂) 414
415 L21(♀) 416
418 L26 419
420 L25 421
422 L30 423
425 L28 426
427 H 428
431 L38 432
434 L34 435
436 L33 437
443 L24 444
444 L48 445
447 H(D) 448
449 L34 450
451 L40 452
453 L37 454
456 L31 457
459 L40 460
